日期,科室,岗位,弹性班次,时长(H),所需人数,派发人员
01月01日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月01日,B超,B超医生,08:00 - 12:00,4,2,"轮班外援_0, 轮班外援_1"
01月01日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月01日,放射,放射医生,09:00 - 11:00,2,2,"轮班外援_0, 轮班外援_1"
01月01日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月01日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月02日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月02日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月02日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月02日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月02日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月02日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月02日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月02日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月03日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月03日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月03日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月03日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月03日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月03日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月03日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月03日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月04日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月04日,B超,B超医生,08:00 - 12:00,4,2,"轮班外援_0, 轮班外援_1"
01月04日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月04日,放射,放射医生,09:00 - 11:00,2,2,"轮班外援_0, 轮班外援_1"
01月04日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月04日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月05日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月05日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月05日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月05日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月05日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月05日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月05日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月05日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月06日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月06日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月06日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月06日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月06日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月06日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月06日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月06日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月07日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月07日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月07日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月07日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月07日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月07日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月07日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月07日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月08日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月08日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月08日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月08日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月08日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月08日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月08日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月08日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月09日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月09日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月09日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月09日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月09日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月09日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月09日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月09日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月10日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月10日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月10日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月10日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月10日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月10日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月10日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月10日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月11日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月11日,B超,B超医生,08:00 - 12:00,4,2,"轮班外援_0, 轮班外援_1"
01月11日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月11日,放射,放射医生,09:00 - 11:00,2,2,"轮班外援_0, 轮班外援_1"
01月11日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月11日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月12日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月12日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月12日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月12日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月12日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月12日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月12日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月12日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月13日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月13日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月13日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月13日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月13日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月13日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月13日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月13日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月14日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月14日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月14日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月14日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月14日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月14日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月14日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月14日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月15日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月15日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月15日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月15日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月15日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月15日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月15日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月15日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月16日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月16日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月16日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月16日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月16日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月16日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月16日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月16日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月17日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月17日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月17日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月17日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月17日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月17日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月17日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月17日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月18日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月18日,B超,B超医生,08:00 - 12:00,4,2,"轮班外援_0, 轮班外援_1"
01月18日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月18日,放射,放射医生,09:00 - 11:00,2,2,"轮班外援_0, 轮班外援_1"
01月18日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月18日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月19日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月19日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月19日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月19日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月19日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月19日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月19日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月19日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月20日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月20日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月20日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月20日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月20日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月20日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月20日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月20日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月21日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月21日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月21日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月21日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月21日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月21日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月21日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月21日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月22日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月22日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月22日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月22日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月22日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月22日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月22日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月22日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月23日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月23日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月23日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月23日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月23日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月23日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月23日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月23日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月24日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月24日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月24日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月24日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月24日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月24日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月24日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月24日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月25日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月25日,B超,B超医生,08:00 - 12:00,4,2,"轮班外援_0, 轮班外援_1"
01月25日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月25日,放射,放射医生,09:00 - 11:00,2,2,"轮班外援_0, 轮班外援_1"
01月25日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月25日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月26日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月26日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月26日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月26日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月26日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月26日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月26日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月26日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月27日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月27日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月27日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月27日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月27日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月27日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月27日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月27日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月28日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月28日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月28日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月28日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月28日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月28日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月28日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月28日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月29日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月29日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月29日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月29日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月29日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月29日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月29日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月29日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月30日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月30日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月30日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月30日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月30日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月30日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月30日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月30日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
12月31日,放射,放射技师,12:00 - 18:00,6,2,"轮班外援_0, 轮班外援_1"
